folder,filename,github_link
brain_tumor,brain_tumor_1710.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1710.jpg
brain_tumor,brain_tumor_1501.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1501.jpg
brain_tumor,brain_tumor_1823.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1823.jpg
brain_tumor,brain_tumor_0249.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0249.jpg
brain_tumor,brain_tumor_0279.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0279.jpg
brain_tumor,brain_tumor_0156.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0156.jpg
brain_tumor,brain_tumor_0987.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0987.jpg
brain_tumor,brain_tumor_1257.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1257.jpg
brain_tumor,brain_tumor_0218.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0218.jpg
brain_tumor,brain_tumor_1183.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1183.jpg
brain_tumor,brain_tumor_0945.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0945.jpg
brain_tumor,brain_tumor_1589.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1589.jpg
brain_tumor,brain_tumor_0766.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0766.jpg
brain_tumor,brain_tumor_0017.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0017.jpg
brain_tumor,brain_tumor_0491.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0491.jpg
brain_tumor,brain_tumor_0953.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0953.jpg
brain_tumor,brain_tumor_1391.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1391.jpg
brain_tumor,brain_tumor_0617.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0617.jpg
brain_tumor,brain_tumor_1022.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1022.jpg
brain_tumor,brain_tumor_1122.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_1122.jpg
brain_tumor,brain_tumor_0826.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0826.jpg
brain_tumor,brain_tumor_0990.jpg,https://github.com/arush-garg/ML_Adv_Course/blob/main/05%20Fine-Tuning/data/brain_tumor/brain_tumor_0990.jpg
